Score,Armor Class,Armor Name,Weapon Name,Build Name,Subclass Type,Super,Class Ability,Jump,Melee,Grenade,Aspects,Fragment Slots,Fragments,Description
27,Hunter,"The Bombardiers","Tommy's Matchbook","The Prismatic Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Tommy's Matchbook by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Slow"
27,Hunter,"The Bombardiers","Trinity Ghoul","The Prisma Duality","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Trinity Ghoul by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Slow"
27,Hunter,"The Bombardiers","Wicked Implement","The Prismatic Duality","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Wicked Implement by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Slow"
27,Hunter,"The Bombardiers","Trespasser","The Transcendent Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Trespasser by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Super"
27,Hunter,"The Bombardiers","Ruinous Effigy","The Prismatic Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Ruinous Effigy by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Suppress"
27,Hunter,"The Bombardiers","The Navigator","The Prismatic Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with The Navigator by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Strand Synergy, Sever"
27,Hunter,"The Bombardiers","The Wardcliff Coil","The Darkweaver's Unity","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with The Wardcliff Coil by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Slow"
27,Hunter,"The Bombardiers","Legend of Acrius","The Convergence Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Legend of Acrius by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Energy"
27,Hunter,"The Bombardiers","Wolfsbane","The Transcendent Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Wolfsbane by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Energy"
27,Hunter,"The Bombardiers","Grand Overture","The Prismatic Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Grand Overture by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Sever"
27,Hunter,"The Bombardiers","Ager's Scepter","The Prisma Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Ager's Scepter by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Slow"
27,Hunter,"The Bombardiers","Worldline Zero","The Convergence Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Worldline Zero by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Energy"
27,Hunter,"The Bombardiers","Centrifuse","The Prisma Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Centrifuse by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Blind"
27,Hunter,"The Bombardiers","Heir Apparent","The Prismatic Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Heir Apparent by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Arc"
27,Hunter,"The Bombardiers","Alethonym","The Prisma Unity","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Alethonym by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Energy"
27,Hunter,"The Bombardiers","Still Hunt","The Transcendent Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Still Hunt by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Super"
27,Hunter,"The Bombardiers","Wish-Keeper","The Prisma Unity","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Wish-Keeper by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Strand Synergy, Energy"
27,Hunter,"The Bombardiers","Vexcalibur","The Transcendent Convergence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Vexcalibur by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Slow"
27,Hunter,"The Bombardiers","D.A.R.C.I.","The Darkweaver's Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with D.A.R.C.I. by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Slow"
27,Hunter,"The Bombardiers","Conditional Finality","The Convergence Duality","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Conditional Finality by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Solar"
27,Hunter,"The Bombardiers","Polaris Lance","The Convergence Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Polaris Lance by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Scorch"
27,Hunter,"The Bombardiers","Lord of Wolves","The Convergence Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Lord of Wolves by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Slow"
27,Hunter,"The Bombardiers","Collective Obligation","The Prisma Convergence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Collective Obligation by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Suppress"
27,Hunter,"The Bombardiers","Tractor Cannon","The Transcendent Convergence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Tractor Cannon by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Suppress"
27,Hunter,"The Bombardiers","Verglas Curve","The Prismatic Duality","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Verglas Curve by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Slow"
27,Hunter,"The Bombardiers","Heartshadow","The Prisma Harmony","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Heartshadow by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Energy"
27,Hunter,"The Bombardiers","Choir of One","The Prismatic Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Choir of One by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Slow"
27,Hunter,"The Bombardiers","Black Talon","The Twilight Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Black Talon by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Void Synergy, Suppress"
27,Hunter,"The Bombardiers","Ex Diris","The Prismatic Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Ex Diris by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Blind"
27,Hunter,"The Bombardiers","Devil's Ruin","The Darkweaver's Spectrum","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Devil's Ruin by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Scorch"
27,Hunter,"The Bombardiers","Merciless","The Convergence Unity","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","The Bombardiers synergizes with Merciless by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Solar Synergy, Slow"
27,Titan,"Phoenix Cradle","Edge of Intent","The Prismatic Harmony","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Phoenix Cradle synergizes with Edge of Intent by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Solar Synergy, Restoration"
27,Titan,"Phoenix Cradle","Prometheus Lens","The Convergence Unity","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Phoenix Cradle synergizes with Prometheus Lens by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Solar Synergy, Energy"
27,Titan,"Phoenix Cradle","Jötunn","The Darkweaver's Spectrum","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Phoenix Cradle synergizes with Jötunn by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Solar Synergy, Energy"
27,Titan,"Phoenix Cradle","Wolfsbane","The Lightweaver's Transcendence","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Phoenix Cradle synergizes with Wolfsbane by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Solar Synergy, Energy"
27,Titan,"Phoenix Cradle","Sunshot","The Darkweaver's Balance","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Phoenix Cradle synergizes with Sunshot by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Solar Synergy, Energy"
27,Titan,"Phoenix Cradle","Hierarchy of Needs","The Darkweaver's Harmony","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Phoenix Cradle synergizes with Hierarchy of Needs by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Solar Synergy, Energy"
27,Titan,"Hazardous Propulsion","Bad Juju","The Prismatic Harmony","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Hazardous Propulsion synergizes with Bad Juju by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Kinetic Synergy, Energy"
27,Titan,"Hazardous Propulsion","Sturm","The Prisma Duality","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Hazardous Propulsion synergizes with Sturm by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Kinetic Synergy, Energy"
27,Titan,"Hazardous Propulsion","Tessellation","The Darkweaver's Duality","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Hazardous Propulsion synergizes with Tessellation by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Kinetic Synergy, Energy"
27,Titan,"Hazardous Propulsion","Microcosm","The Lightweaver's Spectrum","Prismatic Titan","Twilight Arsenal","Towering Barricade","Strafe Lift","Thunderclap","Glacier Grenade","Consecration; Diamond Lance",4,"Facet of Courage; Facet of Dawn; Facet of Honor; Facet of Balance","Hazardous Propulsion synergizes with Microcosm by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Unleash Light and Dark weaponry in a transcendent fury. Your aspects (Consecration + Diamond Lance) amplify this synergy. Additional synergies: Kinetic Synergy, Energy"
27,Hunter,"Renewal Grasps","Salvation's Grip","The Lightweaver's Balance","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Renewal Grasps synergizes with Salvation's Grip by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Grenade"
27,Hunter,"Renewal Grasps","Winterbite","The Transcendent Harmony","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Renewal Grasps synergizes with Winterbite by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Stasis Synergy, Energy"
27,Hunter,"Liar's Handshake","Edge of Concurrence","The Prismatic Transcendence","Prismatic Hunter","Storm's Edge","Marksman's Dodge","Triple Jump","Combination Blow","Arcane Needle","Stylish Executioner; Lethal Current",4,"Facet of Dawn; Facet of Purpose; Facet of Courage; Facet of Balance","Liar's Handshake synergizes with Edge of Concurrence by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Channel both Light and Darkness in devastating strikes. Your aspects (Stylish Executioner + Lethal Current) amplify this synergy. Additional synergies: Arc Synergy, Melee"
27,Warlock,"Osmiomancy Gloves","Winterbite","The Transcendent Transcendence","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Osmiomancy Gloves synergizes with Winterbite by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Stasis Synergy, Energy"
27,Warlock,"Chromatic Fire","Malfeasance","The Darkweaver's Balance","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Malfeasance by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Slow"
27,Warlock,"Chromatic Fire","Ace of Spades","The Prisma Duality","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Ace of Spades by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Solar"
27,Warlock,"Chromatic Fire","Wish-Ender","The Convergence Unity","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Wish-Ender by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Slow"
27,Warlock,"Chromatic Fire","Touch of Malice","The Transcendent Spectrum","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Touch of Malice by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Blind"
27,Warlock,"Chromatic Fire","Bastion","The Twilight Convergence","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Bastion by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Slow"
27,Warlock,"Chromatic Fire","Bad Juju","The Lightweaver's Unity","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Bad Juju by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Super"
27,Warlock,"Chromatic Fire","Sturm","The Twilight Spectrum","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Sturm by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Slow"
27,Warlock,"Chromatic Fire","Microcosm","The Convergence Balance","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Chromatic Fire synergizes with Microcosm by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: Kinetic Synergy, Super"
